Title, Status, Graphics, Setting, Subscription model, Initial release date, Discontinued date, Distribution, Notes
Ran Online, , 3D, Campus fantasy, Freemium, 2004, , , 
Realm of the Mad God, Active, 2D, Fantasy, Free-to-play, 2011, , Steam, Browser-based
The Realm Online, , 2D (sprite-based), Fantasy, Pay-to-play, 1996, , , 
Red Stone, , 2D, Fantasy, Free-to-play, 2004, , , 
Regnum Online, , 3D, Medieval fantasy, Freemium, 2007, , , 
Requiem: Memento Mori, , 3D, Dark fantasy, Free-to-play, 2008, , , 
RF Online, , 3D, Science fiction, Pay-to-play, 2006, , , 
Rift, Active, 3D, Fantasy, Free-to-play, 2011, , Steam, Formerly pay-to-play
Rohan: Blood Feud, , 3D, Fantasy, Freemium, 2008, , , 
ROSE Online, , 3D, Fantasy, Freemium, 2005, , , 
Rubies of Eventide, , 3D, Medieval fantasy, Free-to-play, 2003, 2009, , 
Runes of Magic, , 3D, Medieval fantasy, Freemium, 2009, , , 
RuneScape, Active, 3D, Medieval fantasy, Freemium with subscription model, 2001, , Standalone, Browser-based  Java and HTML 5. Optional membership will unlock more skills and quests. Currently 2 separate games  RuneScape 3 ("current" game) and Oldschool RuneScape (game as it was circa 2007).
Rusty Hearts, , 3D, Fantasy, Free-to-play, 2011, 2014, , Hack and slash
Ryzom, Active, 3D, Science fantasy, Freemium, 2004, , Steam, Free-to-play (up to level 125)  pay-to-play (to max level). Open source
Salem, Active, 3D, Historical (17th century) fantasy, Free-to-play, 2012, , Standalone, Crafting-based
Sangokushi Online, , 3D, Historical (Chinese), Pay-to-play, 2008, 2010-07-19, , Part of the Romance of the Three Kingdoms series by Koei
Scions of Fate or Yulgang, , 3D, Fantasy, Free-to-play, 2005, , , 
Seal Online, , 3D, Fantasy, Freemium, 2003, , , 
The Secret World, , 3D, Modern, Buy-to-play, 2012, , Steam, Formerly pay-to-play
Shadowbane, , 3D, Fantasy, Pay-to-play, 2003-03-25, 2009-07-01, , Switched to "free-to-play" in March 15  2006  supported by ads
Shin Megami Tensei: Imagine, , 3D, Fantasy, Free-to-play, 2007, , , 
Shot-Online, , 3D, Sports (golf), Freemium, 2004, , , 
Shroud of the Avatar: Forsaken Virtues, , 3D, Fantasy, Buy-to-play, 2018, , , Spiritual successor to the Ultima series
Silkroad Online, Active, 3D, Fantasy, Free-to-play, 2005, , , 
Skyforge, Active, 3D, Fantasy (Mythic/Sci-fi), Freemium, 2015, , , Russian-based developers. Manual aim action combat
Soul of the Ultimate Nation, Closed, 3D, Fantasy, Pay-to-play, 2007, 2013-07-03, , 
Spiral Knights, Active, 3D, Fantasy, Freemium, 2009, , , Java
StarQuest Online, Closed, 3D, Science fiction, Free-to-play, 2007, 2014, , Downloadable client (Windows)
Star Trek Online, , 3D, Science fiction, Freemium, 2010, , , Switched to "free-to-play" in January 17  2012
Star Wars Galaxies, Closed, 3D, Science fiction, Pay-to-play, 2003-06-26, 2011-12-15, , The first Star Wars MMORPG used a "sandbox" approach with a totally player-driven economy
Star Wars: The Old Republic, Active, 3D, Science fiction, Freemium, 2011, , Standalone, Spiritual sequel of 2003's Game of the year Star Wars: Knights of the Old Republic  formerly pay-to-play
Stellar Dawn, Development paused, 3D, Science fiction, , , , , Development started back in 2006 as Mechscape  which was scrapped in 2009. In 2010 Stellar Dawn was announced  though in March 2012 the development was paused so the developer  Jagex  could focus on their other games.
Tabula Rasa, Closed, 3D, Science Fiction, Pay-to-play, 2007, 2009, , 
A Tale in the Desert, Active, 3D, Mythology (Egyptian), Pay-to-play, 2003, , Standalone, Non-combat-oriented RPG
Tales of Pirates, Closed, 3D, Fantasy (Maritime), Free-to-play, 2007, 2016-29-02, , During 2010 server data was transferred to a revamped client called Tales of Pirates II
TERA: Rising, Active, 3D, Fantasy, Freemium, 2011, , Steam, Manual aim action combat (True Action combat)
Terra, , 3D, Science fiction, Free-to-play, 1996, , , 
Tibia, Active, 2D (sprite-based; overhead), Fantasy, Free-to-play, 1997, , , Downloadable client (Windows  Linux).
Toontown Online, Closed, 3D, Fantasy  Cartoon, Freemium, 2003, 2013-09-19, , MMORPG designed for families to play  mostly targeted towards children.
Toontown Rewritten, Active, 3D, Fantasy  Cartoon, Free-to-play, 2014, , Standalone, MMORPG designed for families to play  mostly targeted towards children. Fan-made revival of Toontown Online  created using publicly available downloads and information made freely available to the general public.
Trove, Active, 3D, Fantasy  Cartoon, Freemium, 2013, , , 
Twelve Sky, , 3D, Fantasy, Free-to-play, 2007, , , 
Twelve Sky 2, , 3D, Fantasy, Free-to-play, 2008, , , 
Ultima Online, Active, 2D/3D, Medieval fantasy, Subscription, 1997, , , The term MMORPG was first coined by Ultima Online creator Richard Garriott in 1997.[8]
Uncharted Waters Online, , 3D, Historical (maritime), Free-to-play (on international server), 2005, , , 
Underlight, , 3D, Fantasy (Dream), Free-to-play, 1998, , , Original servers were shut down in December 2006. Re-launched in September 2014 by KoiWare.
Vanguard: Saga of Heroes, Closed, 3D, Fantasy, Pay-to-play, 2007-01-30, 2014-07-31, , 
Vendetta Online, , 3D, Science fiction, Pay-to-play, 2004, , , Space vehicle piloting and twitch-based interface
Vindictus, Active, 3D, Fantasy (Celtic), Free-to-play, 2010, , Steam, Manual aim action combat
Voyage Century Online, , 3D, Historical (maritime), Free-to-play, 2006, , , 
Wakfu, , 2D (isometric), Fantasy, Freemium, 2012, , , Downloadable client (Windows  Mac  Linux). Tactical combat.
Warhammer Online: Age of Reckoning, Closed, 3D, Fantasy, Freemium, 2008, 2013-12-18, , 
WildStar, Closed, 3D, Fantasy  Science fiction, Free-to-play, 2014, 2018-11-28, , Manual aim action combat (telegraphed). Became Free-to-play on September 29  2015
With Your Destiny, , 3D, Fantasy (Scandinavian), Free-to-play, 2003, , , 
Wizard101, Active, 3D, Fantasy  kids, Freemium, 2008, , , Wizard game with cards  kid-safe chat
Wizardry Online, , 3D, Fantasy, Freemium, 2013, 2014, , Based on Wizardry series
WonderKing Online, , 2D (side-scrolling), Fantasy, Free-to-play, 2006, , , 
Wonderland Online, Closed, 2D (special), Fantasy, Free-to-play, 2008  March, , , Anime/Manga based
World of the Living Dead, , 2D, Survival Strategy, Free-to-play, 2014, 2014, , Map-Based Survival Game with PvP  Factions  Customization  Upgrades & Crafting. Defunct 2014
World of Warcraft, Active, 3D, Fantasy, Pay-to-play, 2004, , Launcher, Free-to-play until level 20
Wurm Online, Active, 3D, Medieval fantasy, Freemium, 2006, , , Sandbox game with hundreds of skills  multiple kingdoms  and a deep crafting system.
Xsyon, , 3D, Apocalyptic Fantasy, Buy-to-play[9][10], 2011, , , Apocalyptic Fantasy Sandbox MMORPG - Currently in the Prelude phase.
Zhengtu, , 2D, Mythology (Chinese), Freemium, 2008, , , 
