Name, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
GPPG, LALR(1), Yacc, C#, Separate, external, Windows, Yes, Free  BSD
Grammatica, LL(k), BNF dialect, C#  Java, Separate, generated, Java virtual machine, No, Free  BSD
HiLexed, LL(*), EBNF or Java, Java, Separate, internal, Java virtual machine, No, Free  GNU LGPL
Hime Parser Generator, LALR(1)  GLR, BNF dialect, C#  Java  Rust, Separate, generated, .NET Framework  Java virtual machine, No, Free  GNU LGPL
Hyacc, LR(1)  LALR(1)  LR(0), Yacc, C, Mixed, external, All, No, Free  GNU GPL
Irony, LALR(1), C#, N/A (state machine is runtime generated), Separate, internal, .NET Framework, Yes, Free  MIT
iyacc, LALR(1), Yacc, Icon, Mixed, external, All, No, Free  GNU LGPL
jacc, LALR(1), ?, Java, Mixed, external, Java virtual machine, No, Free  BSD
JavaCC, LL(k), EBNF, Java  C++  JavaScript (via GWT compiler)[3], Mixed, generated, Java virtual machine, Yes, Free  BSD
jay, LALR(1), Yacc, C#  Java, Mixed, none, Java virtual machine, No, Free  BSD
JFLAP, LL(1)  LALR(1), ?, Java, ?, ?, Java virtual machine, Yes, ?
JetPAG, LL(k), ?, C++, Mixed, generated, All, No, Free  GNU GPL
JS/CC, LALR(1), EBNF, JavaScript  JScript  ECMAScript, Mixed, internal, All, Yes, Free  BSD
KDevelop-PG-Qt, LL(1)  backtracking  shunting-yard, ?, C++, Mixed, generated or external, All  KDE, No, Free  GNU LGPL
Kelbt, Backtracking LALR(1), ?, C++, Mixed, generated, POSIX, No, Free  GNU GPL
kmyacc, LALR(1), ?, C  Java  Perl  JavaScript, Mixed, external, All, No, Free  GNU GPL
Lapg, LALR(1), ?, C  C++  C#  Java  JavaScript, Mixed, generated, Java virtual machine, No, Free  GNU GPL
Lark, LALR(1)  Earley  CYK, EBNF, Python (no generation  library), Separate, none, All, No, Free  MIT
Lemon, LALR(1), ?, C, Mixed, external, All, No, Free  public domain
LEPL, Recursive descent, Python, Python (no generation  library), Separate, none, All, No, Free  MPL  GNU LGPL
Lime, LALR(1), ?, PHP, Mixed, external, All, No, Free  GNU GPL
LISA, LR(?)  LL(?)  LALR(?)  SLR(?), ?, Java, Mixed, generated, Java virtual machine, Yes, Free  public domain
LLgen, LL(1), ?, C, Mixed, external, POSIX, No, Free  BSD
LLnextgen, LL(1), ?, C, Mixed, external, All, No, Free  GNU GPL
LLLPG, LL(k) + syntactic and semantic predicates, ANTLR-like, C#, Mixed, generated (?), .NET Framework  Mono, Visual Studio, Free  GNU LGPL
LPG, Backtracking LALR(k), ?, Java, Mixed, generated, Java virtual machine, No, Free  EPL
LRSTAR, LALR(1)  LR(1)  LR(*), EBNF  Yacc-like, C++, Separate, generated, Windows, Visual Studio, Free  BSD
Menhir, LR(1), ?, OCaml, Mixed, generated, All, No, Free  QPL
ML-Yacc, LALR(1), ?, ML, Mixed, external, All, No, ?
Monkey, LR(1), ?, Java, Separate, generated, Java virtual machine, No, Free  GNU GPL
Msta, LALR(k)  LR(k), YACC  EBNF, C  C++, Mixed, external or generated, POSIX  Cygwin, No, Free  GNU GPL
MTP (More Than Parsing), LL(1), ?, Java, Separate, generated, Java virtual machine, No, Free  GNU GPL
MyParser, LL(*), Markdown, C++11, Separate, internal, Any with standard C++11 compiler, No, Free  MIT
NLT, GLR, C#/BNF-like, C#, Mixed, mixed, .NET Framework, No, Free  MIT
ocamlyacc, LALR(1), ?, OCaml, Mixed, external, All, No, Free  QPL
olex, LL(1), ?, C++, Mixed, generated, All, No, Free  GNU GPL
parglare, Scannerless LALR(1)/SLR(1)/GLR, BNF-like  Python, N/A (state machine is runtime generated), Mixed, none, All, No, Free  MIT
Parsec, LL  backtracking, Haskell, Haskell, Mixed, none, All, No, Free  BSD
Parse::Yapp, LALR(1), ?, Perl, Mixed, external, All, No, Free  GNU GPL
Parser Objects, LL(k), ?, Java, Mixed, ?, Java virtual machine, No, Free  zlib
PCCTS, LL, ?, C  C++, ?, ?, All, No, ?
PLY, LALR(1), BNF, Python, Mixed, generated, All, No, Free  MIT
PlyPlus, LALR(1), EBNF, Python, Separate, generated, All, No, Free  MIT
PRECC, LL(k), ?, C, Separate, generated, DOS  POSIX, No, Free  GNU GPL
QLALR, LALR(1), ?, C++, Mixed, external, All, No, Free  GNU GPL
RPATK, Recursive descent  backtracking, BNF, C (no generation  library), Separate, none, All, No, Free  GNU GPL
SableCC, LALR(1), ?, C  C++  C#  Java  OCaml  Python, Separate, generated, Java virtual machine, No, Free  GNU LGPL
SLK[4], LL(k) LR(k) LALR(k), EBNF, C  C++  C#  Java  JavaScript, Separate, external, All, No, SLK[5]
SP (Simple Parser), Recursive descent, Python, Python, Separate, generated, All, No, Free  GNU LGPL
Spirit, Recursive descent, ?, C++, Mixed, internal, All, No, Free  Boost
Sprache, LL  backtracking, C#, interpreted, Mixed, internal, .NET Framework, No, Free  MIT
Styx, LALR(1), ?, C  C++, Separate, generated, All, No, Free  GNU LGPL
Sweet Parser, LALR(1), ?, C++, Separate, generated, Windows, No, Free  zlib
Tap, LL(1), ?, C++, Mixed, generated, All, No, Free  GNU GPL
TextTransformer, LL(k), ?, C++, Mixed, generated, Windows, Yes, Proprietary
TinyPG, LL(1), ?, C#  Visual Basic, ?, ?, Windows, Yes, Partial  CPOL 1.0
Toy Parser Generator, Recursive descent, ?, Python, Mixed, generated, All, No, Free  GNU LGPL
TP Yacc, LALR(1), ?, Turbo Pascal, Mixed, external, All, Yes, Free  GNU GPL
UltraGram, LALR(1)  LR(1)  GLR, BNF, C++  Java  C#  Visual Basic .NET, Separate, external, Windows, Yes, Free  public domain
UniCC, LALR(1), EBNF, C  C++  Python  JavaScript  JSON  XML, Mixed, generated, POSIX, No, Free  BSD
UrchinCC, LL(1), ?, Java, ?, generated, Java virtual machine, No, ?
Whale, LR(?)  some conjunctive stuff  see Whale Calf, ?, C++, Mixed, external, All, No, Proprietary
wisent, LALR(1), ?, C++  Java, Mixed, external, All, No, Free  GNU GPL
Yacc AT&T/Sun, LALR(1), Yacc, C, Mixed, external, POSIX, No, Free  CPL & CDDL
Yacc++, LR(1)  LALR(1), Yacc, C++  C#, Mixed, generated or external, All, No, Proprietary
Yapps, LL(1), ?, Python, Mixed, generated, All, No, Free  MIT
yecc, LALR(1), ?, Erlang, Separate, generated, All, No, Free  Apache 2.0
Visual BNF, LR(1)  LALR(1), ?, C#, Separate, generated, .NET Framework, Yes, Proprietary
YooParse, LR(1)  LALR(1), ?, C++, Mixed, external, All, No, Free  MIT
Parse, LR(1), BNF in C++ types, ?, ?, none, C++11 standard compiler, No, Free  MIT
GGLL, LL(1), Graph, Java, Mixed, generated, Windows, Yes, Free  MIT
Product, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
