Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[f], Chamber pressure (bar), Oxidiser:fuel ratio
RD-855 8D68M, Soviet Union, Pivdenne/Pivdenmash, R-36  Tsyklon-2  Tsyklon-3, 1st vernier, N2O4?/?UDMH, , 328 000, 320, , 65.70, 1.97
RD-856 8D69M, Soviet Union, Pivdenne/Pivdenmash, R-36  Tsyklon-2  Tsyklon-3  (Tsyklon-4), 2nd vernier, N2O4?/?UDMH, , 54 230, 112.5, , 71.60, 1.98
RD-861 11D25, Soviet Union, Pivdenne/Pivdenmash, Tsyklon-2  Tsyklon-3, 3rd, N2O4?/?UDMH, , 78 710, 123, , 88.8, 2.1
RD-864 15D177, Soviet Union, Pivdenne/Pivdenmash, R-36 (missile)  Dnipro, 3rd, N2O4?/?UDMH, 309 high  298 low, 20 200 high  8 450 low, 199, , 41 high/17 low, 1.8
RD-869 15D300, Soviet Union, Pivdenne/Pivdenmash, R-36M, 3rd, N2O4?/?UDMH, 313 high  302.3 low, 20 470 high  8 580 low, 196, , 41 high/17 low, 1.8
Space Shuttle Solid Rocket Booster[j], USA, Thiokol, Space Shuttle Ares I, Booster, PBAN?/?APCP, 268, 14 000 000 12 500 000 (SL), 590 000 with fuel, , , 
UA1207, USA, United Technologies, Titan IV, Booster, PBAN, 272[85] 245 (SL), 7 116 000 6 410 400 (SL), 319 330 with fuel, , , 
Viking 2, Europe, Snecma, Ariane 1, 1st, N2O4?/?UDMH, , 690 000 611 200 (SL), 776, 90.67, , 
Viking 2B, Europe, Snecma, Ariane 2 Ariane 3, 1st, N2O4?/?UH?25, , 643 000 (SL), 776, 84.5, , 
Viking 4, Europe, Snecma, Ariane 1, 2nd, N2O4?/?UDMH, , 713 000, 826, 88, , 
Viking 4B, Europe, Snecma, Ariane 2 Ariane 3 Ariane 4, 2nd, N2O4?/?UH?25, , 800 000, 826, 98.76, , 
Viking 5C, Europe, Snecma, Ariane 4, 1st, N2O4?/?UH?25, , 758 000 678 000 (SL), 826, 93.57, , 
Viking 6, Europe, Snecma, Ariane 4, Booster, N2O4?/?UH?25, , 750 000, 826, 92.59, , 
Vulcain HM-60, Europe, Snecma, Ariane 5, 1st, LH2?/?LOX, 439[86] 326 (SL)[87], 1 113 000[86] 773 200 (SL)[87], 1 300[87], 84.38, 109[86], 
Waxwing, United Kingdom, Bristol Aerojet, Black Arrow, Upper, Solid, 278[88] 245 (SL), 29 400 25 900 (SL), 87, 34.48, , 
