, Creator, Development started, First public release, Latest stable version, Stable release date, Cost (USD), License, Notes
Perl Data Language, Karl Glazebrook, 1996, c. 1997, 2019, 5 May 2018, Free, Artistic License, Used for astrophysics  solar physics  oceanography  biophysics  and simulation. 2D plotting via PGPLOT  PLPlot bindings; 3D via GL.
PSPP, Ben Pfaff, 1990s, 1990s, 1.2.0, 6 November 2018, Free, GPL v.3 or later, FOSS statistics program  intended as an alternative to IBM SPSS Statistics. [Note 2]
R, R Foundation, 1997, 1997, 3.5.2, 20 December 2018, Free, GPL, Primarily for statistics  but there are many interfaces to open-source numerical software
SageMath, William Stein, , 2005, 9.0 (1 January 2020; 10 days ago (2020-01-01)) [±][11], 1 January 2020, Free, GPL, Programmable  includes computer algebra  2D+3D plotting. Interfaces to many open-source and proprietary software. Web based interface HTTP or HTTPS
SAS, Anthony Barr and James Goodnight, 1966, 1972, 9.4, 10 July 2014, Not free, Proprietary, Mainly for statistics
SequenceL, Texas Multicore Technologies, 1989, 2012, 2.4, 10 February 2016, Free (Community Edition)  $2495 (Professional Edition), Proprietary, Functional programming language and tools. [Note 3]
S-Lang, John E. Davis, , 1992, 2.3.0, 18 September 2014, Free, GPL  Artistic License (1.x only), Available as a standalone (slsh) and embedded interpreter (jed  slrn  ...)
Scilab, Scilab Enterprises Was:Inria, 1990, 1994, 6.0.2, 14 February 2019, Free, GPL, Programmable  direct support of 2D+3D plotting. Interfaces to many other software packages. Interfacing to external modules written in C  Java  Python or other languages. Language syntax similar to MATLAB. Used for numerical computing in engineering and physics.
Sysquake, Calerga, , 1998, 5.0, 2013, free / $2500 (Pro  commercial) / $1000 (Pro  academic), Proprietary, interactive graphics
TK Solver, Universal Technical Systems  Inc., late 1970s, 1982, 5.0.141, 2011, $399 commercial / $49 (student), Proprietary, Numerical computation and rule-based application development
VisSim, Visual Solutions, , 1989, 10.1, January 2011, $495-$2800 (commercial) free view-only version $50-$250/free v3.0 (academic), Proprietary, Visual Language for simulation and Model Based Design. Used in business  science and engineering. Performs complex scalar or matrix based ODE solving with parametric optimization. Has 2D and 3D plotting  3D animation  and state transition built in.
Yorick, n/a, n/a, n/a, 9, January 2015, Free, GPL, Programmable  callable 2D+3D plotting. Language syntax similar to C. Interfacing to other software packages via C calls.
