File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
Apple HFS Plus, No, No, Yes with Paragon HFS+ [79], Partial - writing support only to unjournalled FS, Yes from Mac OS 8.1, Yes, No, ?, with addon, No, ?, No
FFS, No, No, ?, ?, ?, Yes, Yes, ?, ?, ?, ?, ?
UFS1, No, No, Partial (with ufs2tools  read only), Partial - read only, ?, Yes, Yes, No, ?, ?, Yes, ?
UFS2, No, No, Partial (with ufs2tools  read only), Yes, ?, Yes, Yes, No, ?, ?, ?, ?
LFS, No, No, No, ?, ?, ?, No, No, ?, ?, ?, ?
ext, No, No, No, Yes - until 2.1.20, No, No, No, No, No, No, No, No
Xiafs, No, No, No, Yes - until 2.1.20 Experimental port available to 2.6.32 and later [80][81], No, No, No, No, No, No, No, No
ext2, No, No, Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], Yes, No, Yes with Paragon ExtFS [85] or ext2fsx, Yes, No, Yes, ?, ?, ?
ext3, No, No, Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], Yes, Partial (read only)[citation needed], Yes with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing), Partial (read-only)[86][87], No, with addon, ?, Yes, ?
ext4, No, No, Yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], Yes, ?, Yes with Paragon ExtFS [85], Partial support in kernel since version 10.1 (read-only)[86][87], No, with addon, ?, ?, ?
NOVA, No, No, No, Yes, No, No, No, No, No, No, No, No
Lustre, No, No, No, Yes[88], ?, ?, No, ?, ?, ?, Yes, ?
NILFS, No, No, ?, Yes as an external kernel module, ?, ?, No, ?, ?, ?, ?, ?
F2FS, No, No, No, Yes, No, No, No, No, No, No, No, No
ReiserFS, No, No, No, Yes, ?, ?, Partial - Read Only from 6.0 to 10.x[89] and dropped in 11.0[90][91], ?, with addon, ?, ?, ?
Reiser4, No, No, No, Yes with a kernel patch, ?, ?, No, ?, ?, ?, ?, ?
SpadFS, No, No, No, Yes, No, No, ?, No, No, No, No, No
OCFS, No, No, No, Yes, ?, ?, No, No, ?, ?, ?, ?
OCFS2, No, No, No, Yes, ?, ?, No, No, ?, ?, ?, ?
XFS, No, No, No, Yes, ?, ?, Partial, ?, with addon (read only), ?, ?, ?
JFS, No, No, No, Yes, ?, ?, No, Yes, ?, ?, ?, ?
QFS, No, No, No, Partial - client only[92], ?, ?, No, No, ?, ?, Yes, ?
Be File System, No, No, No, Partial - read-only, ?, ?, No, No, Yes, ?, ?, ?
NSS, No, No, No, Yes via EVMS[cv], ?, ?, No, No, ?, ?, ?, ?
NWFS, Partial (with Novell drivers), No, No, ?, ?, ?, Yes, No, ?, ?, ?, ?
ODS-2, No, No, No, ?, ?, ?, No, No, ?, ?, ?, ?
ODS-5, No, No, No, ?, ?, ?, No, No, ?, ?, ?, ?
UDF, No, ?, Yes, Yes, ?, Yes, Yes, ?, ?, ?, Yes, ?
VxFS, No, No, No, Yes, ?, ?, No, No, ?, ?, Yes, ?
Fossil, No, No, No, Yes[cw], No, Yes[cw], Yes[cw], No, No, No, Yes[cw], ?
ZFS, No, No, Yes[93], Yes with FUSE[94] or as an external kernel module[95], No, Yes with Read/Write Developer Preview[96], Yes, No, No, No, Yes, No
Btrfs, No, No, Partial with WinBtrfs[97], Yes, ?, ?, ?, ?, ?, ?, ?, ?
VMFS2, No, No, No, ?, ?, ?, No, No, ?, ?, ?, ?
VMFS3, No, No, No, ?, ?, ?, No, No, ?, ?, ?, ?
IBM HFS, No, No, No, No, No, No, No, No, No, No, No, Yes
IBM zFS, No, No, No, No, No, No, No, No, No, No, No, Yes
ReFS, No, No, Yes (from Windows Server 2012 and from Windows 8.1), Partial - with Paragon ReFS for Linux, ?, ?, ?, ?, ?, ?, ?, ?
ISO 9660, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
Rock Ridge, No, No, No, Yes, No, Yes, Yes, No, No, Yes, Yes, ?
Joliet ("CDFS"), No, Yes, Yes, Yes, ?, Yes, Yes, Yes, Yes, ?, Yes, ?
SquashFS, No, No, Partial (There are ports of unsquashfs and mksquashfs.), Yes, No, Partial (There are ports of unsquashfs and mksquashfs.), Partial (There are ports of unsquashfs and mksquashfs and fusefs-port.[98][99]), No, No, No, No, No
File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
