Name, Developer, Software license, Latest stable software release, Operating system, Year (not dynamic  but easier for sorting)
qBittorrent, Christophe Dumez, GPL, 4.1.8 (September 26  2019; 2 months ago (2019-09-26)) [±][20] [21], Windows  macOS  Linux  BSD, 2019
rTorrent, Jari Sundell, GPL, rTorrent 0.9.8 / libTorrent 0.13.8 (July 19  2019; 5 months ago (2019-07-19)) [±][22], Linux, 2019
Robert, Sponge  co-developer of I2P, GPL, Template:Latest stable software release/Robert (P2P software), , 2009
Shareaza, Shareaza Development Team, GPL, 2.7.10.2 (September 18  2017; 2 years ago (2017-09-18)[23]) [±], Windows, 2017
SymTorrent, Imre Kelényi, GPL, 1.51 (October 23  2012; 7 years ago (2012-10-23)[24]) [±], Symbian, 2012
Tixati, Kevin Hearn, Proprietary, 2.65 (December 17  2019; 2 days ago (2019-12-17)[25]) [±], Windows  Linux, 2018
Tomato Torrent, Sarwat Khan, BT OSL, 1.5.1 (October 27  2007; 12 years ago (2007-10-27)[26]), macOS, 2007
Tonido, CodeLathe, Proprietary, 3.62.0.21836 (December 31  2012; 6 years ago (2012-12-31)) [±] Du, Windows  macOS  Linux  BSD, 2012
TorrentFlux, various, GPL, 2.4 (June 18  2008; 11 years ago (2008-06-18)[27]) [±], PHP Server, 2008
Transmission, various, GPL/MIT, 2.94 (May 1  2018; 19 months ago (2018-05-01)) [±][28], Windows  macOS  Linux  BSD, 2018
Tribler, The Tribler Team, LGPL, 7.3.0 (August 27  2019; 3 months ago (2019-08-27)) [±][29], Windows  macOS  Linux  Android, 2019
Vuze (formerly Azureus), Vuze, Proprietary (platform)  GPL (core engine)  Adware, 5.7.6.0 (November 2  2017; 2 years ago (2017-11-02)) [±][30], Windows  macOS  Linux  Android, 2017
Xunlei, Thunder Networking Technologies, Proprietary, Microsoft Windows: 9.1.43.938 (10 November 2017; 2 years ago (2017-11-10)) [±][31] macOS: 3.1.7.3266 (27 October 2017; 2 years ago (2017-10-27)) [±][31] iOS: 5.20 (18 June 2016; 3 years ago (2016-06-18)) [±][31] Android: 5.33 (28 February 2017; 2 years ago (2017-02-28)) [±][31], Windows  macOS  Android  iOS, 2017
Name, Developer, Software license, Latest stable software release, , Year
