Language, Intended use, Imperative, Object-oriented, Functional, Procedural, Generic, Reflective, Event-driven, Other paradigm(s), Standardized?
Crystal, General purpose, {{Yes}}, {{Yes}}[21], {{Yes}}, {{Yes}}, , , , alpha stage[22], {{no}}
Cython, Application  general  numerical computing, {{Yes}}, {{Yes}}, {{Yes}}, , , {{Yes}}, , aspect-oriented, {{no}}
D, Application  system, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , generative  concurrent, {{no}}
Dart, Application  web  server-side  mobile  IoT, {{Yes}}, {{Yes}}, {{Yes}}, , , , , structured, {{yes|Ecma-408 standard}}
Dylan, Application, , {{Yes}}, {{Yes}}, , , , , , {{no}}
Eiffel, General  application  business  client-side  server-side  web (EWF), {{Yes}}, {{Yes}}, {{Yes}}[23][24], , {{Yes}}, {{Yes}} Erl-G, {{Yes}} Agents, distributed SCOOP  Void-safe, {{yes|2005}}  ECMA  ISO[25]
Elixir, Application  distributed, , , {{Yes}}, , , , {{Yes}}, concurrent  distributed, {{no}}
Erlang, Application  distributed, , , {{Yes}}, , , , {{Yes}}, concurrent  distributed, {{no}}
Euphoria, Application, , , , {{Yes}}, , {{Yes}}, , , {{no}}
Factor, General, {{Yes}}, , can be viewed as, , {{Yes}}, {{Yes}}, , stack-oriented, {{no}}
FP, , , , {{Yes}}, , , , , , {{no}}
F#, Application, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{no}}
Forth, General, {{Yes}}, , can be viewed as, , , , , stack-oriented, {{yes|1994}}  ANSI
Fortran, Application  numerical computing, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , array-based  vectorized  concurrent  native distributed/shared-memory parallelism, {{yes|1966}}  ANSI 66  ANSI 77  MIL-STD-1753  ISO 90  ISO 95  ISO 2003  ISO/IEC 1539-1:2010 (2008)  ISO/IEC JTC1/SC22/WG5 N2145 (2018)
FreeBASIC, Application  numerical computing, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , , , {{no}}
Gambas, Application, {{Yes}}, {{Yes}}, , , , , {{Yes}}, , {{no}}
Game Maker Language, Application  games, {{Yes}}, {{Yes}}, , , , , {{Yes}}, , {{no}}
GLBasic, Application  games, {{Yes}}, {{Yes}}, , {{Yes}}, , , , simple object-oriented, {{no}}
Go, Application  web  server-side, {{Yes}}, [26], , {{Yes}}, , {{Yes}}, {{Yes}}, concurrent, {{yes|De facto standard}} via Go Language Specification
Gosu, Application  general  scripting  web, {{Yes}}, {{Yes}}, , , {{Yes}}, {{Yes}}, , , {{no}}
GraphTalk, Application, , {{Yes}}, , , , , , logic, {{no}}
Groovy, Application  general  scripting  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, meta-programming, {{no|In progress}}  JCP[27]
Harbour, Application  business  data processing  general  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , declarative, {{no}}
Haskell, Application, , , {{Yes}}, , {{Yes}}, , , lazy evaluation, {{yes|2010}}  Haskell 2010[28]
Haxe, Application  general  web, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , , {{no}}
HyperNext, Application  education, , , , {{Yes}}, , , {{Yes}}, weakly typed, {{no}}
HyperTalk, Application  RAD  general, , {{Yes}}, , , , , {{Yes}}, weakly typed, {{unk}}
Io, Application  host-driven scripting, {{Yes}}, {{Yes}}, , , , , , , {{no}}
IPL, General, , , {{Yes}}, , , , , , {{unk}}
ISLISP, General, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, , , , {{yes|1997}}  ISO
J, Data processing, , , , , , , , array-oriented  function-level  tacit, {{no}}
JADE, Application  distributed, {{Yes}}, {{Yes}}, , , , , , , {{no}}
Java, Application  business  client-side  general  mobile development  server-side  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, concurrent, {{yes|De facto standard}} via Java Language Specification
JavaScript, Client-side  server-side  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, prototype-based, {{yes|1997}}  ECMA
Joy, Research, , , {{Yes}}, , , , , stack-oriented, {{no}}
Julia, General  technical computing, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , multiple dispatch  meta  scalar and array-oriented  parallel  concurrent  distributed ("cloud"), {{No}}
K, Data processing  business, , , , , , , , array-oriented  tacit, {{unk}}
Kotlin, Application  mobile development  server-side  client-side  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}[29], {{Yes}}, , {{no}}
Ksh, Shell  scripting, {{Yes}}, {{Yes}}, , {{Yes}}, , , , several variants  custom programmable  dynamic loadable modules, {{Yes|1992}}  POSIX.2 [30]
LabVIEW (G), Application  industrial instrumentation-automation, {{Yes}}, {{Yes}}, {{Yes}}, , , , {{Yes}}, dataflow  visual, {{no}}
Lisp, General, , , {{Yes}}, , , , , , {{unk}}
LiveCode, Application  RAD  general, , {{Yes}}, , , , , {{Yes}}, weakly typed, {{no}}
Logtalk, Artificial intelligence  application, , {{Yes}}, , , , {{Yes}}, {{Yes}}, logic, {{no}}
LSL, Virtual worlds content scripting and animation, {{Yes}}, , , {{Yes}}, , , {{Yes}}, Scripts exist in in-world objects, {{Yes}}[31]
Lua, Application  embedded scripting, {{Yes}}, {{Yes}}[32], {{Yes}}, {{Yes}}, , {{Yes}}, , aspect-oriented, {{no}}[33]
Maple, Symbolic computation  numerical computing, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , distributed, {{no}}
Mathematica, Symbolic language, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , logic  distributed, {{no}}
MATLAB, Highly domain-specific  numerical computing, {{Yes}}, {{Yes}}, , {{Yes}}, , , , , {{no}}
Modula-2, Application  system, {{Yes}}, , , , {{Yes}}, , , , {{yes|1996}}  ISO[34]
Modula-3, Application, {{Yes}}, {{Yes}}, , , {{Yes}}, , , , {{no}}
MUMPS (M), Application  databases, {{Yes}}, , , {{Yes}}, , , , concurrent  multi-user  NoSQL  transaction processing, {{yes|1977}}  ANSI
Nim, Application  general  web  scripting  system, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , multiple dispatch  Concurrent  meta, {{no}}
Oberon, Application  system, {{Yes}}, {{Yes}}, , , , , , , {{no}}
Object Pascal, Application  general  mobile app  web, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, structured, {{no}}
Objective-C, Application  general, {{Yes}}, {{Yes}}, , {{Yes}}, , {{Yes}}, , concurrent, {{no}}
OCaml, Application  general, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , {{no}}
Occam, General, {{Yes}}, , , {{Yes}}, , , , concurrent  process-oriented, {{no}}
Opa, Web applications, {{Yes}}, , {{Yes}}, , {{Yes}}, , , distributed, {{no}}
OpenLisp, General  Embedded Lisp Engine, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, , , , {{yes|Supersedes ISLISP}}  ISO
Oxygene, Application, {{Yes}}, {{Yes}}, , , {{Yes}}, , , , {{no}}
Oz-Mozart, Application  distribution  education, {{Yes}}, {{Yes}}, {{Yes}}, , , , , concurrent  logic, {{no}}
Pascal, Application  education, {{Yes}}, , , {{Yes}}, , , , , {{yes|1983}}  ISO[35]
Perl, Application  scripting  text processing  Web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , {{no}}
PHP, Server-side  web application  web, {{Yes}}, {{Yes}}[36], {{Yes}}[37], {{Yes}}, , {{Yes}}, , , {{yes|"De facto" standard}} via language specification and Requests for Comments (RFCs)
PL/I, Application, {{Yes}}, {{Yes}}, , {{Yes}}, , , , , {{yes|1969}}  ECMA-50 (1976)
Plus, Application  system development, {{Yes}}, , , {{Yes}}, , , , , {{no}}
PostScript, Graphics  page description, {{Yes}}, , , {{Yes}}, , , , Stack-oriented, Yes (as the PostScript Reference Manual)
PowerShell, Administration  application  general  scripting, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, , pipeline, {{no}}
Prolog, Application  artificial intelligence, , , {{Yes}}, {{Yes}}, , {{Yes}}, , logic  declarative, {{yes|1995}}  ISO/IEC 13211-1:1995  TC1 2007  TC2 2012  TC3 2017
PureBasic, Application, , , , {{Yes}}, , , , , {{no}}
Python, Application  general  web  scripting  artificial intelligence  scientific computing, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, aspect-oriented, {{yes|"De facto" standard}} via Python Enhancement Proposals (PEPs)
R, Application  statistics, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, , , {{no}}
Racket, Education  general  scripting, , {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, , modular  logic  meta, {{no}}
Raku, Scripting  text processing  glue, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , aspect-oriented  array  lazy evaluation  multiple dispatch  metaprogramming, {{yes}}
REALbasic, Application, , , , {{Yes}}, , , , , {{unk}}
Rebol, Distributed, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, dialected, {{no}}
RPG, Application  system, {{Yes}}, , , {{Yes}}, , , , , {{no}}
Ruby, Application  scripting  web, {{Yes}}, {{Yes}}, {{Yes}}, , , {{Yes}}, , aspect-oriented, {{yes|2011(JIS X 3017)  2012(ISO/IEC 30170)}}
Rust, Application  system, {{Yes}}, {{Yes}}[38], {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, concurrent, {{no}}
S, Application  statistics, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , , {{no}}
S-Lang, Application  numerical  scripting, {{Yes}}, , , {{Yes}}, , , , , {{no}}
Scala, Application  distributed  web, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, , {{yes|De facto standard}} via Scala Language Specification (SLS)
Scheme, Education  general, , , {{Yes}}, , , , , extensible syntax, {{yes|1998}}  R6RS
Seed7, Application  general  scripting  web, {{Yes}}, {{Yes}}, , , {{Yes}}, {{Yes}}, , multi-paradigm  extensible  structured, {{no}}
Simula, Education  general, {{Yes}}, {{Yes}}, , , , , {{Yes}}, discrete event simulation  multi-threaded (quasi-parallel) program execution, {{yes|1968}}
Small Basic, Application  education  games, {{Yes}}, , , , , , {{Yes}}, component-oriented, {{no}}
Smalltalk, Application  general  business  artificial intelligence  education  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, concurrent  declarative, {{yes|1998}}  [ANSI
SNOBOL, Text processing, , , , , , , , , {{unk}}
Standard ML, Application, {{Yes}}, , {{Yes}}, , {{Yes}}, , , , {{yes|1997}}  SML '97[39]
Swift, Application  general, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, concurrent  Multi-paradigm, {{no}}
Tcl, Application  scripting  web, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , {{no}}
Visual Basic, Application  RAD  education  business  general  (Includes VBA)  office automation, {{Yes}}, {{Yes}}, , , {{Yes}}, , {{Yes}}, component-oriented, {{no}}
{{nowrap|Visual Basic .NET}}, Application  RAD  education  web  business  general, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, structured  concurrent, {{no}}
Visual FoxPro, Application, , {{Yes}}, , , , , , data-centric  logic, {{no}}
Visual Prolog, Application, {{Yes}}, {{Yes}}, {{Yes}}, , , , {{Yes}}, declarative  logic, {{no}}
Wolfram Language, Symbolic language, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , logic  distributed, {{no}}
XL, , {{Yes}}, {{Yes}}, , , , , , concept programming, {{no}}
Xojo, Application  RAD  general  web, {{Yes}}, {{Yes}}, , {{Yes}}, , {{Yes}}, {{Yes}}, , {{no}}
XPath/XQuery, Databases  data processing  scripting, , , {{Yes}}, , , , , tree-oriented, {{yes|W3C}} 1999 XPath 1  2010 XQuery 1  2014 XPath/XQuery 3.0
Zsh, Shell  scripting, {{Yes}}, , , {{Yes}}, , , , loadable modules, {{no}}
