Vehicle, Origin, Manufacturer, Payload mass to ... (kg), Launches{{efn|group=note|Suborbital flight tests and on-pad explosions are excluded  but launches failing en route to orbit are included.}}, Date of flight
 LEO, GTO, Other, First{{efn|group=note|Effective year for active rockets  planned year for rockets in development}}, Latest
 Alpha, {{USA}}, Firefly Aerospace, {{nts|1000}}[5], , {{nts|600}} to SSO, {{nts|0}}, 2020[6], 
 H-IIA 202, {{JPN}}, Mitsubishi, {{nts|8 000}}[69]{{rp|67}}, {{nts|4 000}}[69]{{rp|48}}, {{nts|5 100}} to SSO{{efn|group=note|5 100 kg to a 500-km Sun-synchronous orbit; 3 300 kg to 800 km[69]{{rp|64–65}}}} [69]{{rp|64–65}}, {{nts|26}}[70], 2001, 2018
 H-IIA 204, {{JPN}}, Mitsubishi, , {{nts|5 950}}[69]{{rp|48}}, , {{nts|4}}[70], 2006, 2017
 H-IIB, {{JPN}}, Mitsubishi, {{nts|16 500}} (ISS)[71], {{nts|8 000}}, , {{nts|8}}[72], 2009, 2019
 H3, {{JPN}}, Mitsubishi, {{nts|4000}}[73], {{nts|6500}}[71], {{nts|4000}} to SSO[74], {{nts|0}}, 2020[74][75], 
 Hyperbola-1, {{CHN}}, i-Space, {{nts|300}}[76], , , {{nts|1}}[77], 2019[78]{{efn|group=note|A suborbital test flight was conducted in April 2018.[76]}}, 2019
 Hyperbola-2, {{CHN}}, i-Space, {{nts|2 000}}[76], , , {{nts|0}}, 2021[76], 
 KSLV-2, {{KOR}}, KARI, {{nts|1500}} at 600–800 km[79], , , {{nts|0}}, 2021[79]{{efn|group=note|A suborbital test flight was conducted in November 2018.}}, 
 Kuaizhou 1/1A, {{CHN}}, ExPace, {{nts|400}}[80], , , {{nts|6}}[80], 2013, 2019
 Kuaizhou 11, {{CHN}}, ExPace, {{nts|1500}}[81], , {{nts|1000}} to SSO[82], {{nts|0}}, 2019[83], 
 Kuaizhou 21, {{CHN}}, ExPace, {{nts|20 000}}[84], , , {{nts|0}}, 2025[82], 
 LauncherOne, {{USA}}, Virgin Orbit, {{nts|500}}[85], , {{nts|300}} to SSO[86], {{nts|0}}, 2019[87], 
 Long March 2C, {{CHN}}, CALT, {{nts|3850}} {{citation needed|date=October 2018}}, {{nts|1250}} with CTS2, {{nts|2000}} to SSO with YZ-1S[88], {{nts|57}}[89], 1982, 2019
 Long March 2D, {{CHN}}, SAST, {{nts|4000}}, , {{nts|1150}} to SSO, {{nts|44}}[89], 1992, 2019
 Long March 2F, {{CHN}}, CALT, {{nts|8600}}, , , {{nts|13}}[89], 1999, 2016
 Long March 3A, {{CHN}}, CALT, {{nts|6 000}}[90], {{nts|2 600}}, {{nts|5 000}} to SSO, {{nts|27}}[91], 1994, 2018
 Long March 3B/E, {{CHN}}, CALT, {{nts|11 500}}[90], {{nts|5 500}}, {{nts|6 900}} to SSO, {{nts|49}}[91], 2007, 2019
 Long March 3C, {{CHN}}, CALT, {{nts|9 100}}[90], {{nts|3 800}}, {{nts|6 500}} to SSO, {{nts|17}}[91], 2008, 2019
 Long March 4B, {{CHN}}, SAST, {{nts|4200}}[92], {{nts|1500
