BitTorrent client, Cache [67], Hash Web seeding, HTTP Web seeding, Broad-catching (RSS), Prioritization, Selective downloads, Sequential downloading, SOCKS, Tracker exchange [68], Remote control via web, Search engine, Auto updates, Reviews and Comments, Notes
KTorrent, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{partial|Built-in Web browser}}, {{yes2}} via PMS, {{no}}, 
LimeWire, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, 
Meerkat Bittorrent Client, {{yes}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, 
MLDonkey, {{yes}}, {{no}}, , {{partial|3rd party bash script}}, {{yes}}, {{no}}, {{no}}, {{no}}[76], {{no}}, {{yes}}, {{partial|Built-in Web browser}}, {{yes2}} via PMS, {{no}}, 
?Torrent, {{yes}}, {{yes}}[77], {{partial|Partial [72]}}, {{yes}}[78], {{yes}}[79], {{yes}}, {{yes}}[80], {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, 
OneSwarm, {{yes}}, {{yes}}, {{partial|Partial [72]}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, has all BitTyrant features
Opera 12, {{no}}, {{no}}, , {{yes}}{{r|group=Note|OperaRSS}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|built-into Web browser}}, {{yes|Windows and Mac OS X only; via PMS on Linux}}, {{no}}, Web browser
qBittorrent, {{yes}}, {{yes}}, {{partial|Partial [71]}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|hard-coded as disabled in newer versions}}, {{yes}}, {{yes}}, {{yes2}} via PMS, {{no}}, 
rTorrent, {{partial}}, {{no}}, {{no}}, {{partial|3rd party utility [81]}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes2}} via PMS, {{no}}, No built-in disk cache but a delayed sync
Shareaza, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}[82], {{yes2|in mod client}}, {{no}}, {{yes}} [83][84][85], {{yes}}, {{yes}}, {{yes}}, {{no}}, [86]
SymTorrent, {{no}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, BitTorrent client for cell phones
Tixati, {{yes}}, {{yes}}, {{partial|Partial [71] [87][72]}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, lightweight client  Portable version available  option to keep all peers unchoked available Integral encrypted chatrooms that allow streaming audio and video  link sharing and searching
Tomato Torrent, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, supports AppleScript
Tonido, {{no}}, {{no}}, , {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, 
TorrentFlux, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, 
Transmission, {{yes}}, {{no}}, {{partial|Partial [72]}}[88], {{no}}, {{yes}}, {{yes}}, {{yes}}[89][90], {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, 
Tribler, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{partial}}, {{yes}} (DHT)[91], {{yes}}, {{no}}, Fully distributed keyword search; integrated anti-spam measures[92]
Vuze (formerly Azureus), {{yes}}, , {{yes}}[74], {{yes}}, {{yes}}, {{yes}}, {{yes2}} in paid version [93], {{yes}}, {{no}}, {{yes2}} Plugin[75], {{yes}}, {{yes}}, {{yes}}[94], The only client to bridge between i2p and the clearnet.
Xunlei, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , {{yes}}, {{no}}, {{yes}}, {{no}}, 
BitTorrent client, Cache, Hash Web seeding, HTTP Web seeding, Broad-catching (RSS), Prioritization, Selective downloads, Sequential downloading, SOCKS, Tracker exchange, Remote control via web, Search engine, Auto updates, Reviews and Comments, Notes
