Application and developer, Latest version/release + date, Schematic?, Simulation?, PCB editing?, Runs on POSIX style systems?, Runs on Windows?, Other platforms?, Open source?, User Interface Language(s), Imports, Exports, Scripting support
EAGLE by Autodesk/CadSoft Computer, 9.3.2 {{Start date and age|2019|3|21|br=1|p=1|df=yes}}, {{yes}}, {{yes|Ngspice}}, {{yes}}, {{yes}}, {{yes}}, {{yes|Linux  Mac}}, {{nonfree|No}}, de  en  zh  hu  ru, EAGLE (XML)  ACCEL (P-CAD  Altium  Protel)  ULTIBOARD  Netlists  BMP  Custom, EAGLE (XML)  Protel  Netlists  Images  Gerber  Gerber X2  Excellon  Sieb & Meyer  HPGL  PostScript/EPS  PDF  Images  HyperLynx  IDF  Custom, Proprietary User Language Programming (ULP)
EasyEDA, 5.4.12 {{Start date and age|2018|05|07|br=1|p=1|df=yes}}, {{yes}}, {{yes|Ngspice}}, {{yes}}, {{yes}}, {{yes}}, Linux  Mac  and Chrome OS as a Web application, {{nonfree|No}}, en  fr  de  pl  jp  ru  es  se  ua  zh ..., Altium  EAGLE  KiCad libraries  LTspice .asc/.asy files  JSON  Spice, PDF  PNG  SVG  JSON  Gerber  Excellon  Pick and Place CSV file  CSV-formatted drill chart  Bill of Materials CSV file  Altium netlist  FreePCB netlist  PADS Layout Netlist  Spice netlist., JSON
Fritzing, 0.9.3b[4] {{Start date and age|2016|06|03|p=1|br=1|df=yes}}, {{yes}}  + breadboard, {{no}}, {{yes}}, {{yes}}, {{yes}}, Linux  Mac, {{yes}}, en  de  nl  es  it  fr  pt  ru  zh  jp  ..., gEDA symbols  KiCad symbols  SVG, Gerber  DIY etching  BOM  SVG  PDF  EPS
gEDA, 1.8.2[5] {{Start date and age|2013|09|25|p=1|br=1|df=yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, Linux  Mac, {{yes}}, en, gschem netlists  image as background, Gerber  Excellon  SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  XYRS, yes
KiCad, 5.1.4[6] {{Start date and age|2019|08|14|p=1|br=1|df=yes}}, {{yes}}, {{yes|Internal: Ngspice External: SPICE netlist export}}, {{yes}}, {{yes}}, {{yes}}, Linux  Mac, {{yes}}, zh_CN  de  en  es  fr  it  pt  ru  ja  pl  cz, TinyCAD net lists  OrCAD EDIF  EAGLE (XML), PDF  Gerber  Gerber X2  Excellon  netlist  VRML2  STEP  IDFv3, Python
OrCAD, 17.2 {{Start date and age|2016|10|p=1|br=1|df=yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{nonfree|No}}, en, EAGLE  PADS  Altium  STEP  DXF  IDF  IDX  OrCAD SDT  OrCAD Layout OrCAD, PDF  Gerber  Gerber X2  Excellon drill/route  netlist  ODB++  DXF  IDF  IDX  STEP 3D PDF  IPC2581, Tcl/TK  SKILL (Lisp)
pcb-rnd, 2.1.4[7] {{Start date and age|2019|10|30|p=1|br=1|df=yes}}, {{no}}, {{yes|external: OpenEMS}}, {{yes}}, {{yes}}, {{yes}}, Linux  Mac, {{yes}}, en, gschem netlists  Protel Autotrax  KiCad (legacy & s-expr layouts)  EAGLE (XML & v3 4 5 binary layouts)  eeschema netlists  mentor netlists  TinyCad netlists  LT-Spice  MUCS  Specctra  Mentor Graphics Hyperlynx  BMP  JPG  GIF  HPGL  image as background, Gerber/[Excellon format|drill] SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  Protel Autotrax  KiCad (legacy & s-expr)  DXF  FidocadJ  Mentor Graphics Hyperlynx  template configurable XYRS/BOM, Python  lua  perl  tcl  AWK (multiple dialects)  lisp & scheme (multiple dialects)  javascript  ruby  pascal  BASIC
Upverter, {{Start date and age|2019|05|10|p=1|br=1|df=yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, Web application, {{nonfree|No}}, en, Altium  OrCad  PDF  OpenJSON  EAGLE, PDF  Gerber  Excellon  netlist  PADS Layout Netlist  Tempo Automation  Pick and Place CSV  High-Res PNG  STL  CSV-formatted drill chart  CSV-formatted list of all parts
Micro-Cap (end-of-life), 12.0.2.3 {{Start date and age|2019|11|18|p=1|br=1|df=yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, Wine, {{nonfree|No}}, en  jp, HSPICE  PSPICE  SPICE3  netlists  Images  IBIS  Touchstone, SPICE text file  netlist  BOM  Protel  Accel  OrCad  PADS netlists  Schematic and Analysis Plots Images  Numeric Output Text  Excel
Pulsonix by WestDev Ltd, 10.0 {{Start date and age|2018|10|01|p=1|br=1|df=yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, Wine, {{nonfree|No}}, en, Allegro  Altium  CadStar  EAGLE  OrCAD  PADS  P-CAD  Protel  Gerber  STEP  DXF  IDF  more, Gerber  Gerber X2  Excellon  ODB++  IPC-2581  PDF  DXF  STEP  IDF  BOM  more, Proprietary language  ActiveX
TARGET 3001!, 20.3.0.64 {{Start date and age|2019|04|29|p=1|br=1|df=yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{nonfree|No}}, en  de  fr, EAGLE  DXF  Gerber  XGerber  Excellon  BMP  CXF  STEP 3D, XGerber  Excellon  EAGLE  HPGL  G-Code (Milling)  CXF  STEP 3D  Excel BOMs  Pick&Place  GenCAD  FABmaster  IPC D-356  Test points  Netlists  OBJ  POV-Ray  PDF
NI Ultiboard and Multisim by National Instruments, 14.2 {{Start date and age|2019|05|19|p=1|br=1|df=yes}} [8], {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, Web application [9], {{nonfree|No}}, en, MS*  MP*  EWB  Spice  OrCAD  UltiCap  Protel  Gerber  DXF  Ultiboard 4&5  Calay, BOM  Gerber  Excellon  IGES (3D)  DXF (2D & 3D)  SVG
123D Circuits by Autodesk, N/A, {{yes}}  + breadboard, {{yes}}, {{yes}}, {{yes}}, {{yes}}, Web application, {{nonfree|No}}, en, EAGLE, Gerber
Application and developer, Latest version/release + date, Schematic?, Simulation?, PCB editing?, Runs on POSIX style systems?, Runs on Windows?, Other platforms?, Open source?, User Interface Language(s), Imports, Exports, Scripting support
