, Type system, Integer, Floating point, Decimal, String, Binary, Date/Time, Boolean, Other
 Informix Dynamic Server[138], Static + UDT, SMALLINT (16-bit)  INT (32-bit)  INT8 (64-bit proprietary)  BIGINT (64-bit), SMALLFLOAT (32-bit)  FLOAT (64-bit), DECIMAL (32 digits float/fixed)  MONEY, CHAR  VARCHAR  NCHAR  NVARCHAR  LVARCHAR  CLOB  TEXT, TEXT  BYTE  BLOB  CLOB, DATE  DATETIME  INTERVAL, BOOLEAN, SET  LIST  MULTISET  ROW  TIMESERIES  SPATIAL  GEODETIC  JSON  BSON  USER DEFINED TYPES
 Ingres[139], Static, TINYINT (8-bit)  SMALLINT (16-bit)  INTEGER (32-bit)  BIGINT (64-bit), FLOAT4 (32-bit)  FLOAT (64-bit), DECIMAL, C  CHAR  VARCHAR  LONG VARCHAR  NCHAR  NVARCHAR  LONG NVARCHAR  TEXT, BYTE  VARBYTE  LONG VARBYTE (BLOB), DATE  ANSIDATE  INGRESDATE  TIME  TIMESTAMP  INTERVAL, N/A, MONEY  OBJECT_KEY  TABLE_KEY  USER-DEFINED DATA TYPES (via OME)
 Linter SQL RDBMS, Static + Dynamic (in stored procedures), SMALLINT (16-bit)  INTEGER (32-bit)  BIGINT (64-bit), REAL(32-bit)  DOUBLE(64-bit), DECIMAL  NUMERIC, CHAR  VARCHAR  NCHAR  NVARCHAR  BLOB, BYTE  VARBYTE  BLOB, DATE, BOOLEAN, GEOMETRY  EXTFILE
 MariaDB[140], Static, TINYINT (8-bit)  SMALLINT (16-bit)  MEDIUMINT (24-bit)  INT (32-bit)  BIGINT (64-bit), FLOAT (32-bit)  DOUBLE (aka REAL) (64-bit), DECIMAL, CHAR  BINARY  VARCHAR  VARBINARY  TEXT  TINYTEXT  MEDIUMTEXT  LONGTEXT, TINYBLOB  BLOB  MEDIUMBLOB  LONGBLOB, DATETIME  DATE  TIMESTAMP  YEAR, BIT(1)  BOOLEAN (aka BOOL) = synonym for TINYINT, ENUM  SET  GIS data types (Geometry  Point  Curve  LineString  Surface  Polygon  GeometryCollection  MultiPoint  MultiCurve  MultiLineString  MultiSurface  MultiPolygon)
 Microsoft SQL Server[141], Static, TINYINT  SMALLINT  INT  BIGINT, FLOAT  REAL, NUMERIC  DECIMAL  SMALLMONEY  MONEY, CHAR  VARCHAR  TEXT  NCHAR  NVARCHAR  NTEXT, BINARY  VARBINARY  IMAGE  FILESTREAM  FILETABLE, DATE  DATETIMEOFFSET  DATETIME2  SMALLDATETIME  DATETIME  TIME, BIT, CURSOR  TIMESTAMP  HIERARCHYID  UNIQUEIDENTIFIER  SQL_VARIANT  XML  TABLE  Geometry  Geography  Custom .NET datatypes
 Microsoft SQL Server Compact (Embedded Database)[142], Static, TINYINT  SMALLINT  INT  BIGINT, FLOAT  REAL, NUMERIC  DECIMAL  MONEY, NCHAR  NVARCHAR  NTEXT, BINARY  VARBINARY  IMAGE, DATETIME, BIT, TIMESTAMP  ROWVERSION  UNIQUEIDENTIFIER  IDENTITY  ROWGUIDCOL
 Mimer SQL, Static, SMALLINT  INT  BIGINT  INTEGER(n), FLOAT  REAL  DOUBLE  FLOAT(n), NUMERIC  DECIMAL, CHAR  VARCHAR  NCHAR  NVARCHAR  CLOB  NCLOB, BINARY  VARBINARY  BLOB, DATE  TIME  TIMESTAMP  INTERVAL, BOOLEAN, DOMAINS  USER-DEFINED TYPES (including the pre-defined spatial data types location  latitude  longitude and coordinate)
 MonetDB, Static, TINYINT  SMALLINT  INT  BIGINT, FLOAT  REAL  DOUBLE, NUMERIC  DECIMAL, VARCHAR(n) CHAR(n) CLOB, BLOB, DATE  TIME  DATETIME  TIMESTAMP, BIT, TIME WITH TIME ZONE TIMESTAMP WITH TIME ZONE  DAY  MONTH  YEAR  INTERVAL
 MySQL[133], Static, TINYINT (8-bit)  SMALLINT (16-bit)  MEDIUMINT (24-bit)  INT (32-bit)  BIGINT (64-bit), FLOAT (32-bit)  DOUBLE (aka REAL) (64-bit), DECIMAL, CHAR  BINARY  VARCHAR  VARBINARY  TEXT  TINYTEXT  MEDIUMTEXT  LONGTEXT, TINYBLOB  BLOB  MEDIUMBLOB  LONGBLOB, DATETIME  DATE  TIMESTAMP  YEAR, BIT(1)  BOOLEAN (aka BOOL) = synonym for TINYINT, ENUM  SET  GIS data types (Geometry  Point  Curve  LineString  Surface  Polygon  GeometryCollection  MultiPoint  MultiCurve  MultiLineString  MultiSurface  MultiPolygon)
 OpenLink Virtuoso[143], Static + Dynamic, INT  INTEGER  SMALLINT, REAL  DOUBLE PRECISION  FLOAT  FLOAT'('INTNUM')', DECIMAL  DECIMAL'('INTNUM')'  DECIMAL'('INTNUM'  'INTNUM')'  NUMERIC  NUMERIC'('INTNUM')'  NUMERIC'('INTNUM'  'INTNUM')', CHARACTER  CHAR'('INTNUM')'  VARCHAR  VARCHAR'('INTNUM')'  NVARCHAR  NVARCHAR'('INTNUM')', BLOB, TIMESTAMP  DATETIME  TIME  DATE, n/a, ANY  REFERENCE (IRI  URI)  UDT (User Defined Type)  GEOMETRY (BOX  BOX2D  BOX3D  BOXM  BOXZ  BOXZM  CIRCULARSTRING  COMPOUNDCURVE  CURVEPOLYGON  EMPTY  GEOMETRYCOLLECTION  GEOMETRYCOLLECTIONM  GEOMETRYCOLLECTIONZ  GEOMETRYCOLLECTIONZM  LINESTRING  LINESTRINGM  LINESTRINGZ  LINESTRINGZM  MULTICURVE  MULTILINESTRING  MULTILINESTRINGM  MULTILINESTRINGZ  MULTILINESTRINGZM  MULTIPOINT  MULTIPOINTM  MULTIPOINTZ  MULTIPOINTZM  MULTIPOLYGON  MULTIPOLYGONM  MULTIPOLYGONZ  MULTIPOLYGONZM  POINT  POINTM  POINTZ  POINTZM  POLYGON  POLYGONM  POLYGONZ  POLYGONZM  POLYLINE  POLYLINEZ  RING  RINGM  RINGZ  RINGZM)
 , Type system, Integer, Floating point, Decimal, String, Binary, Date/Time, Boolean, Other
 Oracle[144], Static + Dynamic (through ANYDATA), NUMBER, BINARY_FLOAT  BINARY_DOUBLE, NUMBER, CHAR  VARCHAR2  CLOB  NCLOB  NVARCHAR2  NCHAR  LONG (deprecated), BLOB  RAW  LONG RAW (deprecated)  BFILE, DATE  TIMESTAMP (with/without TIMEZONE)  INTERVAL, N/A, SPATIAL  IMAGE  AUDIO  VIDEO  DICOM  XMLType
 Pervasive PSQL[145], Static, BIGINT  INTEGER  SMALLINT  TINYINT  UBIGINT  UINTEGER  USMALLINT  UTINYINT, BFLOAT4  BFLOAT8  DOUBLE  FLOAT, DECIMAL  NUMERIC  NUMERICSA  NUMERICSLB  NUMERICSLS  NUMERICSTB  NUMERICSTS, CHAR  LONGVARCHAR  VARCHAR, BINARY  LONGVARBINARY  VARBINARY, DATE  DATETIME  TIME, BIT, CURRENCY  IDENTITY  SMALLIDENTITY  TIMESTAMP  UNIQUEIDENTIFIER
 Polyhedra[146], Static, INTEGER8 (8-bit)  INTEGER(
