UFS1, {{yes}}, {{no}}, {{yes2}} 8:1{{efn |name=note-45}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}
UFS2, {{yes}}, {{no}}, {{yes2}} 8:1{{efn |name=note-45}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}[72][73]
LFS, {{yes}}, {{no}}, {{yes2}} 8:1{{efn |name=note-45}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}
ext, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Xiafs, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
ext2, {{yes}}, {{no}}{{efn |name=note-49 |e2compr  a set of patches providing block-based compression for ext2  has been available since 1997  but has never been merged into the mainline Linux kernel.}}, {{no}}{{efn |name=note-47 |Fragments were planned  but never actually implemented on ext2 and ext3.}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
ext3, {{yes}}, {{no}}, {{no}}{{efn |name=note-47}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
ext4, {{yes}}, {{no}}, {{no}}{{efn |name=note-47}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
NOVA, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{dunno}}
F2FS, {{yes}}, {{no}}, {{no}}, {{no}}, {{partial}}{{efn |name=note-75 | Stores one largest extent in disk  and caches multiple extents in DRAM dynamically.}}, {{no}}, {{yes}}, {{yes}}, {{yes}}[74]
Lustre, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}
NILFS, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}
ReiserFS, {{yes}}, {{no}}, {{yes}}{{efn |name=note-73 |Tail packing is technically a special case of block suballocation where the suballocation unit size is always 1 byte.}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
Reiser4, {{yes}}, {{yes}}{{efn |name=note-50}}, {{yes}}{{efn |name=note-73}}, {{yes}}, {{yes}}{{efn |name=note-39 |In "extents" mode.}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}
OCFS, {{dunno}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
OCFS2, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
XFS, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}  on request[75], {{yes}} (Linux)
JFS, {{yes}}, {{yes2}} only in JFS1 on AIX[76], {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}} (Linux)
QFS, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
BFS, {{dunno}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}} (Haiku)
NSS, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
NWFS, {{dunno}}, {{yes}}, {{yes}}{{efn |name=note-42 |Each possible size (in sectors) of file tail has a corresponding suballocation block chain in which all the tails of that size are stored. The overhead of managing suballocation block chains is usually less than the amount of block overhead saved by being able to increase the block size but the process is less efficient if there is not much free disk space.}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
ODS-5, {{dunno}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
VxFS, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
UDF, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}{{efn |name=note-46 |Depends on UDF implementation.}}, {{dunno}}, {{no}}
Fossil, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
ZFS, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} (FreeBSD  illumos)
Btrfs, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
VMFS2, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
VMFS3, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
ReFS, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{yes}}, {{dunno}}
ISO 9660, {{no}}, {{no}}{{efn|name=note-80|Linux supports the zisofs extension that allows per-file compression  and file system creation tools may support creating such images. zisofs images are incompatible on non-Linux OSes.}}, {{no}}, {{no}}, {{yes}}{{efn|name=note-81|ISO 9660 Level 3 only}}, {{no}}, {{no}}, {{no}}, {{no}}
Rock Ridge, {{no}}, {{no}}{{efn|name=note-80}}, {{no}}, {{no}}, {{yes}}{{efn|name=note-81}}, {{no}}, {{no}}, {{no}}, {{no}}
Joliet ("CDFS"), {{no}}, {{no}}{{efn|name=note-80}}, {{no}}, {{no}}, {{yes}}{{efn|name=note-81}}, {{no}}, {{no}}, {{no}}, {{no}}
SquashFS, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
File system, Sparse files, Transparent compression, Block suballocation, Tail packing, Extents, Variable file block size{{efn |name=note-41}}, Allocate-on-flush, Copy on write, Trim support
