Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s){{efn|name=VSL|At sea level if denoted SL  in vacuum otherwise}}, Thrust (N){{efn|name=VSL}}, Mass (kg), Thrust:{{zwsp}}weight ratio{{efn|Weight is calculated at standard gravity.}}, Chamber pressure (bar), Oxidiser:{{zwsp}}fuel ratio
Merlin Vacuum 1C, {{Flag|USA}}, SpaceX, {{plainlist| Falcon 1 Falcon 9 }}, 2nd, RP-1?/?LOX, {{nts|336}}[77], {{nts|413 644}}[77], , {{nts|92}}, , 
RD-0120 11?122, {{Flag|USSR}}, KBKhA, Energia, 1st, LH2?/?LOX, {{nts|455}}[79], {{nts|1 962 000}} {{nts|1 526 000}} (SL), {{nts|3 450}}, {{nts|57.80}}, {{nts|219}}, 
RD-56 (KVD-1) 11?56?, {{RUS}}, KBKhM, GSLV Mk I, Upper, LH2?/?LOX, {{nts|462}}[80], {{nts|69 626}}, {{nts|282}}, {{nts|25.17}}, {{nts|55.9}}, 
RD-117 11?511, {{Flag|USSR}}, NPO Energomash, Soyuz-U, 1st, RP-1?/?LOX, {{nts|316}}[81] {{nts|253}} (SL), {{nts|978 000}} {{nts|778 648}} (SL), {{nts|1 100}}, {{nts|72.18}}, {{nts|54.2}}, 
RD-118 11?512, {{Flag|USSR}}, NPO Energomash, Soyuz-U, 2nd, RP-1?/?LOX, {{nts|314}}[81] {{nts|257}} (SL), {{nts|1 000 278}} {{nts|818 855}} (SL), {{nts|1 100}}, {{nts|75.91}}, {{nts|59.7}}, 
RD-170{{efn|World's most powerful liquid fueled rocket engine}}11?521[82], {{Flag|USSR}}, NPO Energomash, Soyuz-U, 1st, RP-1?/?LOX, {{nts|337.2}} {{nts|309.5}} (SL), {{nts|7 904 160}} {{nts|7 256 921}} (SL), {{nts|9 300}}, {{nts|79.57}}, {{nts|250}}, 
RD-264 11?119, {{Flag|USSR}}, NPO Energomash, Dnepr, 1st, N2O4?/?UDMH, {{nts|318}}[83] {{nts|293}} (SL), {{nts|4 521 000}}, {{nts|3 600}}, {{nts|128.15}}, {{nts|206}}
RD-275 14?14, {{RUS}}, NPO Energomash, Proton-M, 1st, N2O4?/?UDMH, {{nts|316}}[84] {{nts|287}} (SL), {{nts|1 831 882}} {{nts|1 671 053}} (SL), {{nts|1 070}}, {{nts|171.2}}, {{nts|160.0}}, 
RD-854 8D612, {{USSR}}, Pivdenne/Pivdenmash, R-36ORB, 3rd, N2O4?/?UDMH, , , , , 
RD-855 8D68M, {{USSR}}, Pivdenne/Pivdenmash, R-36  Tsyklon-2  Tsyklon-3, 1st vernier, N2O4?/?UDMH, , {{nts|328 000}}, {{nts|320}}, , {{nts|65.70}}, {{nts|1.97}}
RD-856 8D69M, {{USSR}}, Pivdenne/Pivdenmash, R-36  Tsyklon-2  Tsyklon-3  (Tsyklon-4), 2nd vernier, N2O4?/?UDMH, , {{nts|54 230}}, {{nts|112.5}}, , {{nts|71.60}}, {{nts|1.98}}
RD-861 11D25, {{USSR}}, Pivdenne/Pivdenmash, Tsyklon-2  Tsyklon-3, 3rd, N2O4?/?UDMH, , {{nts|78 710}}, {{nts|123}}, , {{nts|88.8}}, {{nts|2.1}}
RD-864 15D177, {{USSR}}, Pivdenne/Pivdenmash, R-36 (missile)  Dnipro, 3rd, N2O4?/?UDMH, {{nts|309}} high  298 low, {{nts|20 200}} high  8 450 low, {{nts|199}}, , {{nts|41}} high/17 low, {{nts|1.8}}
RD-869 15D300, {{USSR}}, Pivdenne/Pivdenmash, R-36M, 3rd, N2O4?/?UDMH, {{nts|313}} high  302.3 low, {{nts|20 470}} high  8 580 low, {{nts|196}}, , {{nts|41}} high/17 low, {{nts|1.8}}
Space Shuttle Solid Rocket Booster{{efn|Largest solid-fuel rocket motor ever flown  and the first to be used for primary propulsion on human spaceflight missions}}, {{Flag|USA}}, Thiokol, Space Shuttle Ares I, Booster, PBAN?/?APCP, {{nts|268}}, {{nts|14 000 000}} {{nts|12 500 000}} (SL), {{nts|590 000}} with fuel, , , 
UA1207, {{Flag|USA}}, United Technologies, Titan IV, Booster, PBAN, {{nts|272}}[85] {{nts|245}} (SL), {{nts|7 116 000}} {{nts|6 410 400}} (SL), {{nts|319 330}} with fuel, , , 
Viking 2, {{EUR}}, Snecma, Ariane 1, 1st, N2O4?/?UDMH, , {{nts|690 000}} {{nts|611 200}} (SL), {{nts|776}}, {{nts|90.67}}, , 
Viking 2B, {{EUR}}, Snecma, Ariane 2 Ariane 3, 1st, N2O4?/?UH?25, , {{nts|643 000}} (SL), {{nts|776}}, {{nts|84.5}}, , 
Viking 4, {{EUR}}, Snecma, Ariane 1, 2nd, N2O4?/?UDMH, , {{nts|713 000}}, {{nts|826}}, {{nts|88}}, , 
Viking 4B, {{EUR}}, Snecma, Ariane 2 Ariane 3 Ariane 4, 2nd, N2O4?/?UH?25, , {{nts|800 000}}, {{nts|826}}, {{nts|98.76}}, , 
Viking 5C, {{EUR}}, Snecma, Ariane 4, 1st, N2O4?/?UH?25, , {{nts|758 000}} {{nts|678 000}} (SL), {{nts|826}}, {{nts|93.57}}, , 
Viking 6, {{EUR}}, Snecma, Ariane 4, Booster, N2O4?/?UH?25, , {{nts|750 000}}, {{nts|826}}, {{nts|92.59}}, , 
Vulcain HM-60, {{EUR}}, Snecma, Ariane 5, 1st, LH2?/?LOX, {{nts|439}}[86] {{nts|326}} (SL)[87], {{nts|1 113 000}}[86] {{nts|773 200}} (SL)[87], {{nts|1 300}}[87], {{nts|84.38}}, {{nts|109}}[86], 
Waxwing, {{UK}}, Bristol Aerojet, Black Arrow, Upper, Solid, {{nts|278}}[88] {{nts|245}} (SL), {{nts|29 400}} {{nts|25 900}} (SL), {{nts|87}}, {{nts|34.48}}, , 
