Mumble, Thorvald Natvig, 1999 Jul, {{free|Open standard}}, Username, {{Yes}}, {{Yes}}, {{No}}, Only for certified robots, {{No}}, {{No|Centralistic}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}, Mumble
OSCAR (AIM  ICQ), AOL, 1997, Proprietary (Discontinued 15-Dec-2017)[2], Username  Email Address or UIN e.g. 12345678, {{Yes}}, {{Yes}} (Aim Pro  Aim Lite), {{No}}, {{No}}, {{No}}, {{No|Centralistic}}, {{No|client-based}}, {{Yes}} (Multiple  simultaneous), {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, OSCAR (AIM  ICQ)
RVP (Windows Messenger  etc.), Microsoft, 1997 Mar, Proprietary (Discontinued), Windows Active Directory Login, {{No}}, {{No}}, {{No}}, {{dunno}}, {{No}}, {{No|Centralistic}}, {{No}}ne, {{No}}, {{dunno}}, {{dunno}}, {{No}}, {{No}}, {{No}}, RVP (Windows Messenger  etc.)
Ricochet, Invisible.im, 2014 Mar, {{free|Open standard}}, Tor onion address, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, Ricochet
Jami (based on DHT and SIP), Savoir-faire Linux Inc., 2015 May, {{free|Open standard}}, 40-digit address, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{partial|Medium}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, Jami (based on DHT and SIP)
Signal Protocol, Signal Messenger, 2014 Feb[3], {{free|Open standard}}, Phone number (e.g. +1234567890), {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}  contact blocking, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, Signal Protocol
SIP/SIMPLE, IETF, 1996, {{free|Open standard}}, user@hostname, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{partial|Medium}}, {{dunno}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, Depends on implemenation, SIP/SIMPLE
Skype, Skype, 2003 Aug, Proprietary, Username, {{Yes}}, {{Proprietary}}, {{No}}, {{No}}, {{No}}, {{No|Centralistic}}, {{No|client-based}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, Skype
Steam Friends, Valve, 2003 Sep 12, Proprietary, SteamID/Username or Unique Number, {{Yes}}, {{Proprietary}}, {{dunno}}, {{No|No  although rising}}, {{Yes}}, {{dunno}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, Steam Friends
TOC2, AOL, 2005 Sep, Proprietary (Discontinued), Username or UIN e.g. 12345678, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No|Centralistic}}, {{No}}, paying members only, {{dunno}}, {{dunno}}, {{partial}}, {{dunno}}, {{No}}, TOC2
TOX (based on DHT), irungentoo (github user), 2013 June, {{free|Open standard}}, Public & Private key, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{dunno}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{dunno}}, {{Yes}}, TOX (based on DHT)
Tuenti, Tuenti, 2006, Proprietary, Username, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{dunno}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{dunno}}, {{No}}, Tuenti
Windows Messenger service, Microsoft, 1990, Proprietary (Discontinued), NetBIOS, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, Windows Messenger service
XMPP/Jingle (Google Talk), Jeremie Miller  standardized via IETF, 1999 Jan, {{free|Open standard}}, Jabber ID (JID) e.g. usr@a.b.c/home2, {{Yes}}, {{Yes}}, {{Optional|Optional  multiple implementations}}, {{Yes}}, {{Yes}}[4], {{No|Unicast lists}}[5], {{Optional|Several standardized types}}[6], {{Optional}}, {{Yes}}, {{Yes}}, {{Yes}}, {{yes}}[7], {{Optional}}[8], XMPP/Jingle (Google Talk)
YMSG (Yahoo! Messenger), Yahoo!, 1998  March 9, Proprietary, Username, {{Yes}}, {{No}}{{Update inline|reason=YMSG probably uses TLS based on EFF scorecard from November 2014: https://www.eff.org/node/82654 |?=yes|date=July 2016}}, {{No}}, {{No}}, {{Yes}}, {{No|Centralistic}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, YMSG (Yahoo! Messenger)
Zephyr Notification Service, MIT, 1987, {{free|Open standard}}, Kerberos principal e.g. user@ATHENA.MIT.EDU, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, Zephyr Notification Service
SMS/MMS/EMS/Call, Friedhelm Hillebrand, 1985, Proprietary, Phone number (e.g. +1234567890), {{Yes}}, {{No}}, {{No}}, About 250 contacts in SIM  unlimited from phone., {{No}}, serial messages, {{partial|Medium}}, {{No}}, {{yes}}, {{No}}, {{No}}, {{No}}, {{dunno}}, SMS
Protocol, Creator, First public release date, License, Identity (not inc. alias), Asynchronous message relaying, Transport Layer Security, End-to-end encryption, Unlimited number of contacts, Bulletins to all contacts, One-to-many routing 4, Spam protection, Group  channel or conference support, Audio/VoIP support, Webcam/Video, Batch file sharing, Media synchronisation, Serverless 6 (decentralized), Protocol
